season,date,away.team,away.score,home.team,home.score,line,over_under
2023,2023-10-28,Konyaspor,6,Kasimpasa,0,2.25,2.5
2023,2023-10-28,Trabzonspor,0,Besiktas,1,-2.25,2.5
2023,2023-10-28,Sivasspor,0,Besiktas,1,-1.75,2.5
2023,2023-10-28,Sivasspor,0,Basaksehir,0,-1.75,2.5
2023,2023-11-04,Alanyaspor,0,Trabzonspor,0,1.25,3.0
2023,2023-11-04,Kasimpasa,0,Fenerbahce,2,-2.0,3.0
2023,2023-11-04,Trabzonspor,3,Antalyaspor,2,-1.25,2.0
2023,2023-11-04,Sivasspor,0,Alanyaspor,4,-2.5,3.0
2023,2023-11-04,Kasimpasa,1,Galatasaray,7,-1.5,2.5
2023,2023-11-04,Kasimpasa,0,Alanyaspor,5,-1.5,2.5
2023,2023-11-11,Galatasaray,1,Besiktas,0,0.0,2.5
2023,2023-11-11,Konyaspor,1,Fenerbahce,2,1.75,3.0
2023,2023-11-11,GaziantepFK,2,Trabzonspor,0,2.25,2.5
2023,2023-11-11,Konyaspor,1,Galatasaray,1,1.75,3.0
2023,2023-11-11,Besiktas,0,Kayserispor,1,-2.0,3.0
2023,2023-11-11,Sivasspor,0,Kasimpasa,0,-1.5,3.0
2023,2023-11-18,Konyaspor,4,Basaksehir,0,2.75,3.0
2023,2023-11-18,Antalyaspor,1,Konyaspor,5,-3.25,3.5
2023,2023-11-18,Kasimpasa,1,Besiktas,2,-1.0,3.0
2023,2023-11-18,Alanyaspor,0,Kayserispor,0,-1.25,2.5
2023,2023-11-18,Konyaspor,1,Antalyaspor,0,3.0,3.0
2023,2023-11-18,Besiktas,0,GaziantepFK,3,-2.25,3.0
2023,2023-11-25,Fenerbahce,3,Galatasaray,1,0.0,3.0
2023,2023-11-25,Fenerbahce,2,Trabzonspor,1,2.0,2.0
2023,2023-11-25,Sivasspor,0,Antalyaspor,2,-1.75,3.0
2023,2023-11-25,Konyaspor,2,Kayserispor,2,1.25,2.5
2023,2023-11-25,Alanyaspor,0,Kasimpasa,2,0.5,2.5
2023,2023-11-25,Kasimpasa,0,Konyaspor,3,-3.5,4.5
2023,2023-12-02,Konyaspor,3,Trabzonspor,0,2.75,4.0
2023,2023-12-02,Kasimpasa,0,GaziantepFK,3,-2.5,3.0
2023,2023-12-02,Besiktas,0,Konyaspor,2,-3.0,3.5
2023,2023-12-02,Antalyaspor,0,Galatasaray,0,-2.0,2.5
2023,2023-12-02,Basaksehir,0,Kayserispor,3,-2.0,2.5
2023,2023-12-02,Fenerbahce,0,Konyaspor,2,-2.25,3.0
2023,2023-12-09,Antalyaspor,1,Basaksehir,1,-1.25,2.5
2023,2023-12-09,Trabzonspor,0,Kayserispor,1,-2.5,2.5
2023,2023-12-09,GaziantepFK,0,Konyaspor,1,-2.5,3.0
2023,2023-12-09,Alanyaspor,0,GaziantepFK,0,-1.5,2.5
2023,2023-12-09,Trabzonspor,1,Basaksehir,1,-1.75,2.5
2023,2023-12-09,Alanyaspor,0,Galatasaray,2,-0.25,3.0
2023,2023-12-16,Kasimpasa,2,Sivasspor,2,0.5,2.5
2023,2023-12-16,Galatasaray,1,Fenerbahce,0,-0.75,2.0
2023,2023-12-16,Sivasspor,1,Fenerbahce,2,-2.25,3.5
2023,2023-12-16,Alanyaspor,3,Besiktas,1,-0.25,2.5
2023,2023-12-16,Antalyaspor,3,Sivasspor,4,0.0,2.5
2023,2023-12-16,Kayserispor,3,Antalyaspor,0,1.75,3.0
2023,2023-12-23,Besiktas,0,Antalyaspor,0,0.25,3.0
2023,2023-12-23,Sivasspor,0,Kayserispor,3,-2.75,3.0
2023,2023-12-23,GaziantepFK,1,Galatasaray,1,0.75,2.0
2023,2023-12-23,Alanyaspor,1,Antalyaspor,2,0.75,3.0
2023,2023-12-23,Basaksehir,1,Galatasaray,2,-1.25,2.5
2023,2023-12-23,Galatasaray,1,GaziantepFK,0,-1.75,2.5
2023,2023-12-30,Sivasspor,0,Konyaspor,6,-3.75,4.0
2023,2023-12-30,Galatasaray,1,Sivasspor,0,1.5,2.5
2023,2023-12-30,Basaksehir,0,Sivasspor,1,0.75,3.0
2023,2023-12-30,Galatasaray,2,Antalyaspor,0,0.25,2.5
2023,2023-12-30,Konyaspor,4,Alanyaspor,0,2.25,2.5
2023,2023-12-30,Kasimpasa,0,Antalyaspor,1,-0.75,2.5
2023,2024-01-06,Galatasaray,1,Trabzonspor,0,1.0,3.0
2023,2024-01-06,Trabzonspor,0,Fenerbahce,2,-2.5,3.5
2023,2024-01-06,GaziantepFK,0,Kayserispor,0,-0.75,3.0
2023,2024-01-06,Antalyaspor,1,Besiktas,3,-1.5,2.5
2023,2024-01-06,Basaksehir,2,Konyaspor,5,-2.75,3.5
2023,2024-01-06,GaziantepFK,1,Besiktas,0,1.25,3.0
2024,2024-08-10,Besiktas,0,Antalyaspor,1,0.25,2.5
2024,2024-08-10,Alanyaspor,0,Kasimpasa,0,0.75,2.5
2024,2024-08-10,Trabzonspor,0,Galatasaray,2,-2.5,2.5
2024,2024-08-10,Sivasspor,0,Besiktas,3,-2.0,3.0
2024,2024-08-10,Kayserispor,2,Antalyaspor,0,1.75,2.5
2024,2024-08-10,Antalyaspor,0,Galatasaray,1,-2.0,2.5
2024,2024-08-17,Antalyaspor,0,Sivasspor,0,0.25,2.0
2024,2024-08-17,Basaksehir,0,Kasimpasa,2,-0.25,3.0
2024,2024-08-17,Kasimpasa,0,Alanyaspor,1,-1.25,2.5
2024,2024-08-17,Kayserispor,3,Kasimpasa,0,1.25,2.5
2024,2024-08-17,Konyaspor,4,Sivasspor,0,3.0,3.5
2024,2024-08-17,Antalyaspor,1,Fenerbahce,3,-2.75,2.5
2024,2024-08-24,Sivasspor,2,Trabzonspor,3,-1.0,2.5
2024,2024-08-24,Antalyaspor,0,Alanyaspor,1,-2.25,2.5
2024,2024-08-24,Sivasspor,0,Kayserispor,2,-3.25,3.5
2024,2024-08-24,Trabzonspor,0,Fenerbahce,3,-2.75,2.5
2024,2024-08-24,Kasimpasa,1,GaziantepFK,4,-2.25,2.0
2024,2024-08-24,Antalyaspor,1,Trabzonspor,2,0.25,3.0
2024,2024-08-31,Galatasaray,3,Kasimpasa,1,0.5,3.5
2024,2024-08-31,Konyaspor,3,Galatasaray,1,1.75,3.0
2024,2024-08-31,Kasimpasa,1,Galatasaray,1,-1.25,2.5
2024,2024-08-31,Trabzonspor,0,Basaksehir,0,-1.5,3.0
2024,2024-08-31,Alanyaspor,0,Galatasaray,3,-0.5,2.5
2024,2024-08-31,Galatasaray,0,GaziantepFK,3,-1.5,2.5
2024,2024-09-07,Sivasspor,1,Basaksehir,3,-1.5,3.0
2024,2024-09-07,Basaksehir,1,Antalyaspor,2,-0.75,2.5
2024,2024-09-07,Besiktas,0,GaziantepFK,3,-2.25,3.0
2024,2024-09-07,Kasimpasa,2,Antalyaspor,0,-0.75,2.5
2024,2024-09-07,Besiktas,1,Sivasspor,1,0.75,2.5
2024,2024-09-07,Basaksehir,0,Kayserispor,3,-1.75,2.5
2024,2024-09-14,GaziantepFK,2,Galatasaray,0,0.5,2.5
2024,2024-09-14,Galatasaray,0,Kayserispor,3,-1.25,2.0
2024,2024-09-14,Alanyaspor,0,GaziantepFK,4,-1.75,2.5
2024,2024-09-14,Konyaspor,7,Alanyaspor,2,2.0,2.5
2024,2024-09-14,Fenerbahce,4,Kasimpasa,0,1.25,2.0
2024,2024-09-14,Fenerbahce,0,Antalyaspor,0,0.75,3.0
2024,2024-09-21,Sivasspor,1,Fenerbahce,0,-2.25,3.5
2024,2024-09-21,Alanyaspor,0,Basaksehir,1,0.5,2.5
2024,2024-09-21,Antalyaspor,0,GaziantepFK,4,-2.5,3.0
2024,2024-09-21,Alanyaspor,1,Besiktas,0,0.25,2.5
2024,2024-09-21,Besiktas,3,Basaksehir,1,0.25,3.0
2024,2024-09-21,Basaksehir,1,Fenerbahce,2,-2.0,2.5
2024,2024-09-28,Sivasspor,0,Antalyaspor,4,-1.5,3.0
2024,2024-09-28,Alanyaspor,0,Konyaspor,2,-2.25,3.5
2024,2024-09-28,Galatasaray,5,Sivasspor,0,1.25,2.5
2024,2024-09-28,Fenerbahce,1,Basaksehir,1,0.75,2.5
2024,2024-09-28,Galatasaray,1,Alanyaspor,3,-0.25,2.5
2024,2024-09-28,Antalyaspor,2,Besiktas,2,-1.75,3.0
2024,2024-10-05,GaziantepFK,4,Sivasspor,0,2.25,2.5
2024,2024-10-05,Kasimpasa,0,Konyaspor,3,-3.25,4.0
2024,2024-10-05,Kayserispor,1,Fenerbahce,1,-0.5,2.5
2024,2024-10-05,Trabzonspor,0,Alanyaspor,2,-2.5,3.0
2024,2024-10-05,Alanyaspor,3,Trabzonspor,1,1.75,3.0
2024,2024-10-05,Fenerbahce,1,Kayserispor,0,-0.75,3.0
2024,2024-10-12,GaziantepFK,2,Trabzonspor,0,2.0,3.0
2024,2024-10-12,GaziantepFK,1,Besiktas,0,0.75,3.5
2024,2024-10-12,Galatasaray,1,Antalyaspor,0,0.5,2.5
2024,2024-10-12,Trabzonspor,1,Antalyaspor,3,-1.25,2.5
2024,2024-10-12,Kasimpasa,0,Basaksehir,1,-0.75,2.5
2024,2024-10-12,Kasimpasa,0,Besiktas,6,-0.75,2.5
2024,2024-10-19,Antalyaspor,0,Kasimpasa,1,-1.0,3.0
2024,2024-10-19,Alanyaspor,1,Antalyaspor,1,1.0,2.5
2024,2024-10-19,GaziantepFK,2,Antalyaspor,0,1.75,3.0
2024,2024-10-19,Kayserispor,5,Basaksehir,1,1.25,2.0
2024,2024-10-19,Besiktas,2,Trabzonspor,3,0.75,3.0
2024,2024-10-19,GaziantepFK,1,Fenerbahce,0,0.25,3.0
2024,2024-10-26,Kasimpasa,1,Trabzonspor,3,0.0,2.5
2024,2024-10-26,Besiktas,2,Galatasaray,1,-0.75,3.5
2024,2024-10-26,Sivasspor,0,Alanyaspor,2,-2.25,3.0
2024,2024-10-26,Basaksehir,2,Konyaspor,4,-2.75,3.5
2024,2024-10-26,Alanyaspor,0,Kayserispor,0,-1.0,3.5
2024,2024-10-26,Antalyaspor,0,Basaksehir,4,-0.75,3.0
2024,2024-11-02,Fenerbahce,2,Galatasaray,0,0.0,2.0
2024,2024-11-02,GaziantepFK,0,Konyaspor,2,-2.25,3.0
2024,2024-11-02,Konyaspor,5,Besiktas,0,2.25,3.5
2024,2024-11-02,Kasimpasa,0,Fenerbahce,1,-2.0,3.5
2024,2024-11-02,Galatasaray,1,Basaksehir,3,0.25,2.5
2024,2024-11-02,Konyaspor,2,Trabzonspor,0,3.0,3.5
2024,2024-11-09,Besiktas,0,Konyaspor,3,-3.0,3.5
2024,2024-11-09,Basaksehir,0,Galatasaray,3,-1.75,3.0
2024,2024-11-09,Trabzonspor,0,Konyaspor,5,-3.25,4.0
2024,2024-11-09,GaziantepFK,3,Basaksehir,0,1.5,2.5
2024,2024-11-09,Konyaspor,3,Fenerbahce,1,1.5,3.0
2024,2024-11-09,Besiktas,0,Alanyaspor,4,-1.5,3.0
2024,2024-11-16,Sivasspor,0,Konyaspor,3,-4.25,4.5
2024,2024-11-16,Galatasaray,1,Fenerbahce,0,-1.0,2.5
2024,2024-11-16,Basaksehir,3,Trabzonspor,1,0.5,2.5
2024,2024-11-16,Alanyaspor,6,Sivasspor,0,1.75,3.0
2024,2024-11-16,Trabzonspor,0,Besiktas,3,-2.25,2.5
2024,2024-11-16,Besiktas,0,Fenerbahce,6,-1.75,2.5
2024,2024-11-23,Antalyaspor,0,Kayserispor,1,-2.75,2.5
2024,2024-11-23,Konyaspor,0,Basaksehir,0,2.25,3.0
2024,2024-11-23,Sivasspor,1,Galatasaray,3,-2.75,3.0
2024,2024-11-23,Basaksehir,0,GaziantepFK,1,-2.5,2.5
2024,2024-11-23,Galatasaray,1,Trabzonspor,0,0.75,2.5
2024,2024-11-23,Trabzonspor,1,Kasimpasa,1,-1.25,2.5
2024,2024-11-30,Fenerbahce,5,Besiktas,1,0.25,3.0
2024,2024-11-30,Basaksehir,1,Sivasspor,1,0.5,2.5
2024,2024-11-30,Kayserispor,2,Besiktas,3,0.5,2.5
2024,2024-11-30,GaziantepFK,1,Alanyaspor,0,0.25,3.0
2024,2024-11-30,Fenerbahce,0,Konyaspor,3,-2.5,2.5
2024,2024-11-30,Fenerbahce,3,Sivasspor,1,2.0,3.0
2024,2024-12-07,Basaksehir,0,Besiktas,1,-1.0,3.0
2024,2024-12-07,Sivasspor,0,Kasimpasa,1,-1.75,3.0
2024,2024-12-07,Kasimpasa,0,Kayserispor,3,-2.75,3.0
2024,2024-12-07,Fenerbahce,2,Trabzonspor,1,2.25,2.5
2024,2024-12-07,GaziantepFK,0,Kayserispor,2,-0.5,3.0
2024,2024-12-07,Galatasaray,1,Besiktas,2,0.25,2.5
2024,2024-12-14,Konyaspor,0,GaziantepFK,1,0.75,2.5
2024,2024-12-14,GaziantepFK,2,Kasimpasa,1,1.75,2.5
2024,2024-12-14,Kayserispor,2,Galatasaray,0,-0.25,3.0
2024,2024-12-14,Galatasaray,0,Konyaspor,5,-3.25,3.0
2024,2024-12-14,Sivasspor,0,GaziantepFK,2,-3.0,3.5
2024,2024-12-14,Besiktas,0,Kasimpasa,0,0.0,2.5
2024,2024-12-21,Kayserispor,5,Sivasspor,0,2.0,2.5
2024,2024-12-21,Fenerbahce,1,GaziantepFK,1,-0.75,3.0
2024,2024-12-21,Antalyaspor,1,Konyaspor,5,-3.75,4.0
2024,2024-12-21,Alanyaspor,0,Fenerbahce,4,-0.75,3.0
2024,2024-12-21,Konyaspor,2,Antalyaspor,1,3.0,2.5
2024,2024-12-21,Fenerbahce,2,Alanyaspor,0,-0.25,2.5
2024,2024-12-28,Kayserispor,1,Alanyaspor,2,0.25,2.5
2024,2024-12-28,Trabzonspor,1,GaziantepFK,2,-2.75,3.5
2024,2024-12-28,Kayserispor,2,Trabzonspor,0,1.75,2.5
2024,2024-12-28,Basaksehir,0,Alanyaspor,2,-1.5,2.5
2024,2024-12-28,Besiktas,2,Kayserispor,2,-1.75,3.0
2024,2024-12-28,Kayserispor,0,Konyaspor,3,-2.25,2.5
2024,2025-01-04,Konyaspor,3,Kasimpasa,1,2.25,3.5
2024,2025-01-04,Konyaspor,4,Kayserispor,1,1.25,2.5
2024,2025-01-04,Kasimpasa,1,Sivasspor,4,0.75,3.0
2024,2025-01-04,Kayserispor,1,GaziantepFK,3,-1.0,3.0
2024,2025-01-04,Trabzonspor,1,Sivasspor,3,-0.75,2.5
2024,2025-01-04,Trabzonspor,0,Kayserispor,6,-2.75,3.5
